district_class,land_price_per_m2,soil_complexity,site_accessibility,land_area_m2,house_area_m2,design_complexity,materials_class,planned_duration_days,planned_budget,crew_experience_years,crew_efficiency_score,crew_current_load,supplier_reliability_score,delivery_distance_km,weather_season,material_price_index,mortgage_rate,market_demand_index,client_type,labor_cost_index,delay_days,actual_cost,actual_margin,budget_overrun,final_profit
econom,3736,2,5,545,161.31264700747252,1,econom,106,8538625.880298901,6,1.0,1,0.8856375328641588,45,autumn,1.0235500493631224,9.164073456231524,1.034549251915023,private,1.0790172212036442,27.384827567987273,9110353.348708868,-0.06695778412415382,1,-571727.4684099667
premium,15818,3,5,570,152.58837948125,4,econom,131,15319795.179250002,5,0.8702004367784941,3,0.9265821513226323,30,winter,1.0643931441123027,7.456879350795518,0.9252471967274949,commercial,1.09069287001667,28.90417038569862,17707967.31642217,-0.1558879938817225,1,-2388172.1371721663
standard,10868,5,4,733,215.53833338843884,3,standard,159,18893160.66942194,9,1.0,1,0.9140913808933115,38,summer,1.042123330014162,10.435751286105994,1.0303046033568404,private,0.9238246626573204,33.08773215691493,19550917.106329385,-0.034814526188410855,1,-657756.4369074441
standard,6012,3,2,823,195.84760375294104,4,econom,157,12981780.150117643,10,0.9643711036857483,1,0.9350866074066534,25,summer,1.0550073898502241,8.26487833662567,1.1552568663901024,commercial,1.1240311502947022,14.757159383970727,14683066.307684219,-0.1310518386456543,0,-1701286.1575665753
econom,3914,5,3,708,180.1119572566457,3,econom,138,10125590.290265828,7,0.9111669529541505,2,0.8901653314768018,46,summer,1.0195541056156812,10.423303274421475,1.156269636887049,private,1.0654292803620968,40.28252118854724,11210028.70676409,-0.1070987849015361,0,-1084438.4164982624
econom,4931,2,3,925,115.86405252150152,4,premium,109,12292338.4138976,9,1.0,0,0.8652894257237077,45,summer,0.9582132259940848,7.876347752162988,1.114420999116227,commercial,0.9897464334767152,35.7368921501712,11973883.13941318,0.025906809897486855,0,318455.2744844202
econom,4583,3,1,968,161.44798153905484,3,standard,126,12658743.07695274,3,0.8498990845900419,2,0.7914370056833465,7,autumn,0.9175203246908785,8.98117835809141,1.1258883219569835,private,1.1869283017246204,25.930234654021614,13130464.511077205,-0.03726447651689118,0,-471721.43412446417
standard,6920,2,5,746,119.22928761951195,3,premium,101,13062223.695268277,8,0.953371488244113,2,0.8827750193603997,45,summer,1.043982496058473,11.627272429281437,1.0030852352057402,private,1.0483093357957458,32.08329446699458,14190803.989825787,-0.0864003190334531,1,-1128580.29455751
standard,10920,3,5,701,211.42337545177548,1,premium,136,21447439.404365405,9,1.0,0,0.9067204158891602,40,summer,1.0659029576376045,8.920008609598185,1.1473523951762492,commercial,1.0432207245195986,34.83091010977439,23806562.304919705,-0.10999555033474645,1,-2359122.9005542994
standard,8418,1,1,746,114.25087709331851,1,econom,78,10899863.083732741,2,0.8494466316008044,0,0.8499647762076816,33,autumn,1.0542315733848309,7.570083626072587,0.9868279464145677,commercial,1.032618142659994,32.69997295799523,12233081.254756458,-0.12231513008759248,1,-1333218.1710237172
